LineId,LogId,Node,Component,State,Time,Flag,Content,EventId,EventTemplate
30,38426,node-17,action,start,1076537141,1,boot  (command 2141),E4,boot  (command <*>)
31,33697,node-251,action,start,1076435713,1,boot  (command 2110),E4,boot  (command <*>)
32,46302,node-114,action,start,1076546290,1,boot  (command 2160),E4,boot  (command <*>)
33,76306,node-57,action,start,1077204892,1,halt  (command 2221),E19,halt  (command <*>)
34,75035,node-116,action,start,1077172847,1,wait  (command 2217),E45,wait  (command <*>)
35,75026,node-119,action,start,1077172842,1,wait  (command 2217),E45,wait  (command <*>)
36,66410,node-226,action,start,1076874863,1,wait  (command 2201),E45,wait  (command <*>)
37,64231,node-224,action,start,1076871482,1,wait  (command 2199),E45,wait  (command <*>)
38,61193,node-25,action,start,1076865929,1,boot  (command 2183),E4,boot  (command <*>)
39,59888,node-105,action,start,1076865608,1,wait  (command 2189),E45,wait  (command <*>)
40,106268,node-178,action,start,1077739942,1,wait  (command 2302),E45,wait  (command <*>)
41,95046,node-118,action,start,1077647123,1,wait  (command 2270),E45,wait  (command <*>)
42,93084,node-239,action,start,1077645240,1,wait  (command 2257),E45,wait  (command <*>)
43,93083,node-242,action,start,1077645240,1,boot  (command 2257),E4,boot  (command <*>)
44,137423,node-28,action,start,1077809713,1,boot  (command 2316),E4,boot  (command <*>)
45,138728,node-25,action,start,1077810165,1,boot  (command 2316),E4,boot  (command <*>)
46,139640,node-120,action,start,1077810494,1,wait  (command 2322),E45,wait  (command <*>)
47,143923,node-195,action,start,1077816813,1,wait  (command 2354),E45,wait  (command <*>)
48,146443,node-123,action,start,1077817656,1,wait  (command 2347),E45,wait  (command <*>)
49,157583,node-196,action,start,1077873102,1,boot  (command 2368),E4,boot  (command <*>)
50,160960,node-3,action,start,1077875823,1,boot  (command 2392),E4,boot  (command <*>)
51,162927,node-2,action,start,1077877886,1,boot  (command 2406),E4,boot  (command <*>)
52,163146,node-206,action,start,1077878060,1,boot  (command 2417),E4,boot  (command <*>)
53,164418,node-45,action,start,1077881141,1,boot  (command 2423),E4,boot  (command <*>)
54,165793,node-89,action,start,1077881713,1,wait  (command 2424),E45,wait  (command <*>)
55,177730,node-200,action,start,1077894469,1,wait  (command 2449),E45,wait  (command <*>)
56,185712,node-60,action,start,1077902963,1,boot  (command 2464),E4,boot  (command <*>)
57,186693,node-125,action,start,1077903223,1,wait  (command 2468),E45,wait  (command <*>)
58,222526,node-206,action,start,1078490898,1,boot  (command 2520),E4,boot  (command <*>)
59,217214,node-241,action,start,1078468230,1,wait  (command 2517),E45,wait  (command <*>)
60,217168,node-248,action,start,1078468218,1,boot  (command 2517),E4,boot  (command <*>)
61,217100,node-148,action,start,1078468203,1,wait  (command 2511),E45,wait  (command <*>)
62,217007,node-179,action,start,1078468187,1,wait  (command 2513),E45,wait  (command <*>)
63,214978,node-161,action,start,1078467481,1,boot  (command 2514),E4,boot  (command <*>)
64,201811,node-76,action,start,1078162366,1,wait  (command 2484),E45,wait  (command <*>)
65,264003,node-176,action,start,1079249218,1,boot  (command 2625),E4,boot  (command <*>)
66,256981,node-58,action,start,1079070194,1,wait  (command 2607),E45,wait  (command <*>)
67,256874,node-90,action,start,1079070177,1,boot  (command 2616),E4,boot  (command <*>)
68,256848,node-185,action,start,1079070175,1,boot  (command 2619),E4,boot  (command <*>)
69,256223,node-82,action,start,1079070000,1,boot  (command 2616),E4,boot  (command <*>)
70,256162,node-80,action,start,1079069993,1,boot  (command 2616),E4,boot  (command <*>)
71,254534,node-129,action,start,1079069377,1,boot  (command 2602),E4,boot  (command <*>)
72,247848,node-157,action,start,1079049069,1,wait  (command 2582),E45,wait  (command <*>)
73,245027,node-175,action,start,1079048210,1,boot  (command 2584),E4,boot  (command <*>)
74,236520,node-43,action,start,1079015170,1,wait  (command 2549),E45,wait  (command <*>)
75,235608,node-34,action,start,1079014799,1,boot  (command 2550),E4,boot  (command <*>)
76,235599,node-2,action,start,1079014796,1,boot  (command 2548),E4,boot  (command <*>)
77,233507,node-227,action,start,1079012648,1,boot  (command 2538),E4,boot  (command <*>)
78,274455,node-100,action,start,1079616550,1,wait  (command 2683),E45,wait  (command <*>)
79,276059,node-190,action,start,1079617054,1,boot  (command 2686),E4,boot  (command <*>)
80,276581,node-120,action,start,1079617260,1,wait  (command 2682),E45,wait  (command <*>)
81,294548,node-216,action,start,1081392152,1,wait  (command 2763),E45,wait  (command <*>)
82,301979,node-1,action,start,1081998493,1,wait  (command 2800),E45,wait  (command <*>)
83,300380,node-109,action,start,1081880821,1,boot  (command 2790),E4,boot  (command <*>)
84,307531,node-9,action,start,1082038490,1,wait  (command 2817),E45,wait  (command <*>)
85,307999,node-112,action,start,1082038630,1,wait  (command 2823),E45,wait  (command <*>)
86,309387,node-27,action,start,1082039069,1,wait  (command 2817),E45,wait  (command <*>)
87,326403,node-150,action,start,1083202417,1,wait  (command 2900),E45,wait  (command <*>)
88,324109,node-232,action,start,1083200791,1,wait  (command 2885),E45,wait  (command <*>)
89,338620,node-237,action,start,1083304818,1,wait  (command 2909),E45,wait  (command <*>)
90,362348,node-220,action,start,1085071596,1,boot  (command 2960),E4,boot  (command <*>)
91,360562,node-229,action,start,1085071024,1,wait  (command 2963),E45,wait  (command <*>)
92,374171,node-26,action,start,1086022370,1,boot  (command 2999),E4,boot  (command <*>)
93,373784,node-147,action,start,1085979758,1,halt  (command 2992),E19,halt  (command <*>)
94,402485,node-205,action,start,1089897107,1,wait  (command 3087),E45,wait  (command <*>)
95,402097,node-73,action,start,1089897051,1,wait  (command 3079),E45,wait  (command <*>)
96,401359,node-34,action,start,1089896823,1,wait  (command 3078),E45,wait  (command <*>)
97,429535,node-124,action,start,1095347018,1,wait  (command 3141),E45,wait  (command <*>)
98,426656,node-33,action,start,1095346191,1,boot  (command 3138),E4,boot  (command <*>)
99,437355,node-19,action,start,1096995511,1,boot  (command 3169),E4,boot  (command <*>)
100,437261,node-10,action,start,1096995263,1,boot  (command 3169),E4,boot  (command <*>)
101,443445,node-80,action,start,1098389763,1,boot  (command 3194),E4,boot  (command <*>)
102,19244,node-194,action,start,1100785255,1,boot  (command 3320),E4,boot  (command <*>)
103,19258,node-167,action,start,1100785255,1,boot  (command 3318),E4,boot  (command <*>)
104,20797,node-188,action,start,1100785975,1,boot  (command 3317),E4,boot  (command <*>)
105,21457,node-216,action,start,1100786301,1,wait  (command 3319),E45,wait  (command <*>)
106,32761,node-17,action,start,1102475613,1,wait  (command 3334),E45,wait  (command <*>)
107,32609,node-10,action,start,1102475187,1,boot  (command 3334),E4,boot  (command <*>)
108,70287,node-70,action,start,1108647096,1,wait  (command 3412),E45,wait  (command <*>)
109,70708,node-115,action,start,1108647304,1,boot  (command 3413),E4,boot  (command <*>)
110,112147,node-82,action,start,1111072078,1,boot  (command 3473),E4,boot  (command <*>)
111,136495,node-150,action,start,1111865182,1,wait  (command 3523),E45,wait  (command <*>)
112,136459,node-208,action,start,1111865169,1,wait  (command 3525),E45,wait  (command <*>)
113,134514,node-254,action,start,1111862672,1,wait  (command 3519),E45,wait  (command <*>)
114,134299,node-251,action,start,1111862280,1,boot  (command 3519),E4,boot  (command <*>)
115,128650,node-231,action,start,1111855559,1,boot  (command 3512),E4,boot  (command <*>)
116,163965,node-195,action,start,1114095465,1,boot  (command 3579),E4,boot  (command <*>)
117,164990,node-114,action,start,1114095917,1,boot  (command 3572),E4,boot  (command <*>)
118,165357,node-246,action,start,1114095982,1,boot  (command 3580),E4,boot  (command <*>)
119,208690,node-65,action,start,1116601343,1,wait  (command 3612),E45,wait  (command <*>)
120,208761,node-147,action,start,1116601359,1,boot  (command 3615),E4,boot  (command <*>)
121,210411,node-40,action,start,1116601982,1,wait  (command 3609),E45,wait  (command <*>)
122,211063,node-18,action,start,1116604606,1,boot  (command 3624),E4,boot  (command <*>)
123,212813,node-239,action,start,1116611765,1,wait  (command 3649),E45,wait  (command <*>)
124,213303,node-83,action,start,1116611976,1,boot  (command 3639),E4,boot  (command <*>)
125,252407,node-46,action,start,1118929077,1,wait  (command 3690),E45,wait  (command <*>)
126,252602,node-145,action,start,1118929116,1,boot  (command 3696),E4,boot  (command <*>)
127,252613,node-174,action,start,1118929118,1,wait  (command 3698),E45,wait  (command <*>)
128,276418,node-84,action,start,1119845504,1,wait  (command 3709),E45,wait  (command <*>)
129,55715,node-89,action,start,1126813838,1,wait  (command 3837),E45,wait  (command <*>)
130,55940,node-255,action,start,1126814027,1,wait  (command 3847),E45,wait  (command <*>)
131,173915,node-59,action,start,1131220838,1,boot  (command 3951),E4,boot  (command <*>)
132,172312,node-27,action,start,1131216880,1,boot  (command 3928),E4,boot  (command <*>)
133,170334,node-161,action,start,1131215738,1,boot  (command 3939),E4,boot  (command <*>)
134,191604,node-13,action,start,1131239917,1,boot  (command 3964),E4,boot  (command <*>)
135,193032,node-46,action,start,1131241563,1,wait  (command 3973),E45,wait  (command <*>)
136,194265,node-186,action,start,1131242308,1,wait  (command 3981),E45,wait  (command <*>)
137,194301,node-185,action,start,1131242355,1,wait  (command 3981),E45,wait  (command <*>)
138,220288,node-194,action,start,1132159257,1,boot  (command 4024),E4,boot  (command <*>)
139,288620,node-150,action,start,1134671414,1,wait  (command 4061),E45,wait  (command <*>)
140,329026,node-111,action,start,1140100216,1,wait  (command 4110),E45,wait  (command <*>)
141,328665,node-234,action,start,1140100074,1,boot  (command 4118),E4,boot  (command <*>)
142,328498,node-218,action,start,1140099980,1,wait  (command 4116),E45,wait  (command <*>)
143,328095,node-194,action,start,1140099718,1,wait  (command 4117),E45,wait  (command <*>)
144,328040,node-67,action,start,1140099563,1,boot  (command 4109),E4,boot  (command <*>)
145,374387,node-116,action,start,1141676760,1,wait  (command 4145),E45,wait  (command <*>)
146,397088,node-148,action,start,1142527921,1,boot  (command 4176),E4,boot  (command <*>)
147,397742,node-56,action,start,1142528184,1,boot  (command 4170),E4,boot  (command <*>)
148,397899,node-150,action,start,1142528212,1,wait  (command 4176),E45,wait  (command <*>)
149,398541,node-154,action,start,1142528540,1,wait  (command 4176),E45,wait  (command <*>)
150,401417,node-129,action,start,1142537875,1,bootGenvmunix  (command 4185),E6,bootGenvmunix  (command <*>)
151,460486,node-181,action,start,1145552039,1,boot  (command 4223),E4,boot  (command <*>)
152,460596,node-143,action,start,1145552056,1,wait  (command 4221),E45,wait  (command <*>)
153,461572,node-116,action,start,1145552379,1,wait  (command 4219),E45,wait  (command <*>)
154,2566692,1897,boot_cmd,success,1073991950,1,Command has completed successfully,E12,Command has completed successfully
155,2614626,2001,boot_cmd,success,1074752045,1,Command has completed successfully,E12,Command has completed successfully
156,178176,2428,boot_cmd,success,1077894737,1,Command has completed successfully,E12,Command has completed successfully
157,247935,2568,boot_cmd,success,1079049124,1,Command has completed successfully,E12,Command has completed successfully
158,274749,2685,boot_cmd,success,1079616724,1,Command has completed successfully,E12,Command has completed successfully
159,301526,2797,boot_cmd,success,1081993794,1,Command has completed successfully,E12,Command has completed successfully
160,427258,3142,boot_cmd,success,1095346421,1,Command has completed successfully,E12,Command has completed successfully
161,91679,3440,boot_cmd,success,1109728975,1,Command has completed successfully,E12,Command has completed successfully
162,130127,3501,boot_cmd,success,1111856688,1,Command has completed successfully,E12,Command has completed successfully
163,240717,3664,boot_cmd,success,1118282468,1,Command has completed successfully,E12,Command has completed successfully
164,2599204,1971,boot_cmd,new,1074297378,1,Targeting domains:node-D3 and nodes:node-[104-127] child of command 1963,E42,Targeting domains:node-D<*> and nodes:node-[<*>-<*>] child of command <*>
165,2599217,1973,boot_cmd,new,1074297389,1,Targeting domains:node-D4 and nodes:node-[136-159] child of command 1964,E42,Targeting domains:node-D<*> and nodes:node-[<*>-<*>] child of command <*>
166,70088,2206,shutdown_cmd,new,1077059790,1,Targeting domains:node-D7 and nodes:node-[224\ 228\ 232],E43,Targeting domains:node-D<*>and nodes:node-<*>
167,162883,2414,boot_cmd,new,1077877853,1,Targeting domains:node-D4 and nodes:node-[128-135] child of command 2401,E42,Targeting domains:node-D<*> and nodes:node-[<*>-<*>] child of command <*>
168,210240,2490,boot_cmd,new,1078453922,1,Targeting domains:node-D0 and nodes:node-[8-31] child of command 2489,E42,Targeting domains:node-D<*> and nodes:node-[<*>-<*>] child of command <*>
169,451683,3223,boot_cmd,new,1098825780,1,Targeting domains:node-D0 and nodes:node-0,E43,Targeting domains:node-D<*>and nodes:node-<*>
170,38390,3344,boot_cmd,new,1104070308,1,Targeting domains:node-D[0\ 5] and nodes:node-[27\ 191],E43,Targeting domains:node-D<*>and nodes:node-<*>
171,128520,3491,boot_cmd,new,1111855423,1,Targeting domains:node-D2 and nodes:node-[64-95] child of command 3488,E42,Targeting domains:node-D<*> and nodes:node-[<*>-<*>] child of command <*>
172,276415,3709,boot_cmd,new,1119845316,1,Targeting domains:node-D2 and nodes:node-84,E43,Targeting domains:node-D<*>and nodes:node-<*>
173,51338,node-3,node,psu,1106496000,1,psu failure\ ambient=28,E35,psu failure\ ambient=<*>
174,191898,node-238,node,psu,1131240275,1,psu failure\ ambient=28,E35,psu failure\ ambient=<*>
175,236618,node-104,node,psu,1132434391,1,psu failure\ ambient=28,E35,psu failure\ ambient=<*>
176,341834,node-118,node,psu,1140312091,1,psu failure\ ambient=28,E35,psu failure\ ambient=<*>
177,347972,node-118,node,psu,1140430530,1,psu failure\ ambient=31,E35,psu failure\ ambient=<*>
178,147394,Interconnect-0N00,switch_module,temphigh,1129812510,1,Temperature (41C) exceeds warning threshold,E44,Temperature (<*>C) exceeds warning threshold
179,147494,Interconnect-0N00,switch_module,temphigh,1129813980,1,Temperature (41C) exceeds warning threshold,E44,Temperature (<*>C) exceeds warning threshold
180,2594656,node-D0,clusterfilesystem,clusterfilesystem.no_server,1074279038,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage234,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
181,2609055,node-D7,clusterfilesystem,clusterfilesystem.no_server,1074464654,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage1412,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
182,2608601,node-D7,clusterfilesystem,clusterfilesystem.no_server,1074462833,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage1024,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
183,2608475,node-D7,clusterfilesystem,clusterfilesystem.no_server,1074462062,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage1534,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
184,2596321,node-D7,clusterfilesystem,clusterfilesystem.no_server,1074289164,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage1231,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
185,32255,node-D7,clusterfilesystem,clusterfilesystem.no_server,1076398960,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage934,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
186,58466,node-D0,clusterfilesystem,clusterfilesystem.no_server,1076864677,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage131,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
187,57981,node-D7,clusterfilesystem,clusterfilesystem.no_server,1076864401,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage1144,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
188,57709,node-D0,clusterfilesystem,clusterfilesystem.no_server,1076864348,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage444,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
189,171644,node-D0,clusterfilesystem,clusterfilesystem.no_server,1077889836,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage141,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
190,172740,node-D7,clusterfilesystem,clusterfilesystem.no_server,1077891659,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage1622,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
191,172788,node-D7,clusterfilesystem,clusterfilesystem.no_server,1077891661,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage1612,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
192,183109,node-D7,clusterfilesystem,clusterfilesystem.no_server,1077901705,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage1622,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
193,213053,node-D7,clusterfilesystem,clusterfilesystem.no_server,1078465745,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage1542,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
194,213050,node-D7,clusterfilesystem,clusterfilesystem.no_server,1078465745,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage1644,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
195,229271,node-D0,clusterfilesystem,clusterfilesystem.no_server,1078963582,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage242,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
196,311726,node-D7,clusterfilesystem,clusterfilesystem.no_server,1082041350,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage1031,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
197,400170,node-D7,clusterfilesystem,clusterfilesystem.no_server,1089893907,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage1331,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
198,399288,node-D0,clusterfilesystem,clusterfilesystem.no_server,1089893729,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage742,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
199,399278,node-D0,clusterfilesystem,clusterfilesystem.no_server,1089893727,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage221,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
200,417925,node-D0,clusterfilesystem,clusterfilesystem.no_server,1093627911,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage622,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
201,420807,node-D0,clusterfilesystem,clusterfilesystem.no_server,1094568654,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage112,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
202,442349,node-D7,clusterfilesystem,clusterfilesystem.no_server,1098365526,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage1432,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
203,51652,node-D0,clusterfilesystem,clusterfilesystem.no_server,1106588485,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage142,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
204,68757,node-D0,clusterfilesystem,clusterfilesystem.no_server,1108645899,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage742,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
205,69243,node-D7,clusterfilesystem,clusterfilesystem.no_server,1108646021,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage1231,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
206,110887,node-D7,clusterfilesystem,clusterfilesystem.no_server,1111067897,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage1311,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
207,256889,node-D0,clusterfilesystem,clusterfilesystem.no_server,1118940596,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage411,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
208,220014,node-D0,clusterfilesystem,clusterfilesystem.no_server,1132158358,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage132,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
209,286137,node-D0,clusterfilesystem,clusterfilesystem.no_server,1134669644,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage832,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
210,286151,node-D0,clusterfilesystem,clusterfilesystem.no_server,1134669644,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage531,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
211,327002,node-D0,clusterfilesystem,clusterfilesystem.no_server,1140098601,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage321,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
212,365140,node-69,unix.hw,net.niff.down,1085075228,1,NIFF: node node-69 detected a failed network connection on network 5.5.224.0 via interface alt0,E27,NIFF: node node-<*> detected a failed network connection on network <*> via interface alt0
213,401608,node-162,unix.hw,net.niff.down,1142550442,1,NIFF: node node-162 detected a failed network connection on network 5.5.224.0 via interface alt0,E27,NIFF: node node-<*> detected a failed network connection on network <*> via interface alt0
214,180537,node-D0,clusterfilesystem,fdmn.panic,1131228351,1,ServerFileSystem: An ServerFileSystem domain panic has occurred on storage442,E39,ServerFileSystem: An ServerFileSystem domain panic has occurred on <*>
215,268543,Interconnect-0N00,switch_module,fan,1119372267,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
216,268265,Interconnect-0N00,switch_module,fan,1119290224,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
217,292663,Interconnect-0N00,switch_module,fan,1121581239,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
218,291810,Interconnect-0N00,switch_module,fan,1121525534,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
219,289739,Interconnect-0N00,switch_module,fan,1121303273,1,Fan speeds ( 3552 3534 3375 4245 3515 3479 ),E18,Fan speeds ( <*> <*> <*> <*> <*> <*> )
220,327293,Interconnect-0N00,switch_module,fan,1123408044,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
221,26132,Interconnect-0N00,switch_module,fan,1124831967,1,Fan speeds ( 3552 3534 3375 11637 3515 3479 ),E18,Fan speeds ( <*> <*> <*> <*> <*> <*> )
222,37743,Interconnect-0N00,switch_module,fan,1125827345,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
223,37524,Interconnect-0N00,switch_module,fan,1125819002,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
224,36180,Interconnect-0N00,switch_module,fan,1125718237,1,Fan speeds ( 3552 3534 3375 4245 3515 3479 ),E18,Fan speeds ( <*> <*> <*> <*> <*> <*> )
225,35581,Interconnect-0N00,switch_module,fan,1125706262,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
226,35374,Interconnect-0N00,switch_module,fan,1125677285,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
227,34697,Interconnect-0N00,switch_module,fan,1125668027,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
228,34204,Interconnect-0N00,switch_module,fan,1125664672,1,Fan speeds ( 3552 3534 3375 4470 3515 3479 ),E18,Fan speeds ( <*> <*> <*> <*> <*> <*> )
229,34116,Interconnect-0N00,switch_module,fan,1125660960,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
230,33940,Interconnect-0N00,switch_module,fan,1125651957,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
231,33385,Interconnect-0N00,switch_module,fan,1125557358,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
