LineId,Date,Day,Time,Component,Pid,Content,EventId,EventTemplate
24,Dec,10,07:11:42,LabSZ,24224,pam_unix(sshd:auth): check pass; user unknown,E21,pam_unix(sshd:auth): check pass; user unknown
25,Dec,10,07:11:42,LabSZ,24224,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=202.100.179.208,E19,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>
26,Dec,10,07:11:44,LabSZ,24224,Failed password for invalid user chen from 202.100.179.208 port 32484 ssh2,E10,Failed password for invalid user <*> from <*> port <*> ssh2
27,Dec,10,07:11:44,LabSZ,24224,Received disconnect from 202.100.179.208: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
28,Dec,10,07:13:31,LabSZ,24227,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=5.36.59.76.dynamic-dsl-ip.omantel.net.om  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
29,Dec,10,07:13:43,LabSZ,24227,Failed password for root from 5.36.59.76 port 42393 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
30,Dec,10,07:13:56,LabSZ,24227,message repeated 5 times: [ Failed password for root from 5.36.59.76 port 42393 ssh2],E14,message repeated <*> times: [ Failed password for root from <*> port <*>]
31,Dec,10,07:13:56,LabSZ,24227,Disconnecting: Too many authentication failures for root [preauth],E5,Disconnecting: Too many authentication failures for root [preauth]
32,Dec,10,07:13:56,LabSZ,24227,PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=5.36.59.76.dynamic-dsl-ip.omantel.net.om  user=root,E17,PAM <*> more authentication failures; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>  user=root
33,Dec,10,07:13:56,LabSZ,24227,PAM service(sshd) ignoring max retries; 6 > 3,E18,PAM service(sshd) ignoring max retries; <*> > <*>
34,Dec,10,07:27:50,LabSZ,24235,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
35,Dec,10,07:27:52,LabSZ,24235,Failed password for root from 112.95.230.3 port 45378 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
36,Dec,10,07:27:52,LabSZ,24235,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
37,Dec,10,07:27:53,LabSZ,24237,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
38,Dec,10,07:27:55,LabSZ,24237,Failed password for root from 112.95.230.3 port 47068 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
39,Dec,10,07:27:55,LabSZ,24237,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
40,Dec,10,07:27:55,LabSZ,24239,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
41,Dec,10,07:27:58,LabSZ,24239,Failed password for root from 112.95.230.3 port 49188 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
42,Dec,10,07:27:58,LabSZ,24239,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
43,Dec,10,07:27:58,LabSZ,24241,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
44,Dec,10,07:28:00,LabSZ,24241,Failed password for root from 112.95.230.3 port 50999 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
45,Dec,10,07:28:00,LabSZ,24241,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
46,Dec,10,07:28:01,LabSZ,24243,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
47,Dec,10,07:28:03,LabSZ,24243,Failed password for root from 112.95.230.3 port 52660 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
48,Dec,10,07:28:03,LabSZ,24243,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
49,Dec,10,07:28:03,LabSZ,24245,Invalid user pgadmin from 112.95.230.3,E13,Invalid user <*> from <*>
50,Dec,10,07:28:03,LabSZ,24245,input_userauth_request: invalid user pgadmin [preauth],E12,input_userauth_request: invalid user <*> [preauth]
51,Dec,10,07:28:03,LabSZ,24245,pam_unix(sshd:auth): check pass; user unknown,E21,pam_unix(sshd:auth): check pass; user unknown
52,Dec,10,07:28:03,LabSZ,24245,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3,E19,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>
53,Dec,10,07:28:05,LabSZ,24245,Failed password for invalid user pgadmin from 112.95.230.3 port 54087 ssh2,E10,Failed password for invalid user <*> from <*> port <*> ssh2
54,Dec,10,07:28:05,LabSZ,24245,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
55,Dec,10,07:28:06,LabSZ,24247,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
56,Dec,10,07:28:08,LabSZ,24247,Failed password for root from 112.95.230.3 port 55618 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
57,Dec,10,07:28:08,LabSZ,24247,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
58,Dec,10,07:28:08,LabSZ,24249,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
59,Dec,10,07:28:10,LabSZ,24249,Failed password for root from 112.95.230.3 port 57138 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
60,Dec,10,07:28:10,LabSZ,24249,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
61,Dec,10,07:28:10,LabSZ,24251,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
62,Dec,10,07:28:12,LabSZ,24251,Failed password for root from 112.95.230.3 port 58304 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
63,Dec,10,07:28:12,LabSZ,24251,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
64,Dec,10,07:28:12,LabSZ,24253,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
65,Dec,10,07:28:14,LabSZ,24253,Failed password for root from 112.95.230.3 port 59849 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
66,Dec,10,07:28:14,LabSZ,24253,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
67,Dec,10,07:28:14,LabSZ,24255,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
68,Dec,10,07:28:16,LabSZ,24255,Failed password for root from 112.95.230.3 port 32977 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
69,Dec,10,07:28:16,LabSZ,24255,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
70,Dec,10,07:28:16,LabSZ,24257,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
71,Dec,10,07:28:18,LabSZ,24257,Failed password for root from 112.95.230.3 port 35113 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
72,Dec,10,07:28:18,LabSZ,24257,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
73,Dec,10,07:28:19,LabSZ,24259,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
74,Dec,10,07:28:21,LabSZ,24259,Failed password for root from 112.95.230.3 port 37035 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
75,Dec,10,07:28:21,LabSZ,24259,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
76,Dec,10,07:28:21,LabSZ,24261,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
77,Dec,10,07:28:23,LabSZ,24261,Failed password for root from 112.95.230.3 port 39041 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
78,Dec,10,07:28:23,LabSZ,24261,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
79,Dec,10,07:28:23,LabSZ,24263,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
80,Dec,10,07:28:25,LabSZ,24263,Failed password for root from 112.95.230.3 port 40388 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
81,Dec,10,07:28:25,LabSZ,24263,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
82,Dec,10,07:28:25,LabSZ,24265,Invalid user utsims from 112.95.230.3,E13,Invalid user <*> from <*>
83,Dec,10,07:28:25,LabSZ,24265,input_userauth_request: invalid user utsims [preauth],E12,input_userauth_request: invalid user <*> [preauth]
84,Dec,10,07:28:25,LabSZ,24265,pam_unix(sshd:auth): check pass; user unknown,E21,pam_unix(sshd:auth): check pass; user unknown
85,Dec,10,07:28:25,LabSZ,24265,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3,E19,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>
86,Dec,10,07:28:28,LabSZ,24265,Failed password for invalid user utsims from 112.95.230.3 port 41506 ssh2,E10,Failed password for invalid user <*> from <*> port <*> ssh2
87,Dec,10,07:28:28,LabSZ,24265,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
88,Dec,10,07:28:28,LabSZ,24267,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
89,Dec,10,07:28:30,LabSZ,24267,Failed password for root from 112.95.230.3 port 42881 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
90,Dec,10,07:28:30,LabSZ,24267,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
91,Dec,10,07:28:31,LabSZ,24269,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
92,Dec,10,07:28:33,LabSZ,24269,Failed password for root from 112.95.230.3 port 43981 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
93,Dec,10,07:28:33,LabSZ,24269,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
94,Dec,10,07:28:33,LabSZ,24271,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
95,Dec,10,07:28:35,LabSZ,24271,Failed password for root from 112.95.230.3 port 44900 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
96,Dec,10,07:28:35,LabSZ,24271,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
97,Dec,10,07:28:35,LabSZ,24273,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
98,Dec,10,07:28:37,LabSZ,24273,Failed password for root from 112.95.230.3 port 45699 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
99,Dec,10,07:28:37,LabSZ,24273,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
100,Dec,10,07:28:37,LabSZ,24275,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
101,Dec,10,07:28:39,LabSZ,24275,Failed password for root from 112.95.230.3 port 46577 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
102,Dec,10,07:28:39,LabSZ,24275,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
103,Dec,10,07:28:40,LabSZ,24277,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
104,Dec,10,07:28:42,LabSZ,24277,Failed password for root from 112.95.230.3 port 47836 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
105,Dec,10,07:28:42,LabSZ,24277,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
106,Dec,10,07:28:42,LabSZ,24279,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
107,Dec,10,07:28:44,LabSZ,24279,Failed password for root from 112.95.230.3 port 49133 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
108,Dec,10,07:28:44,LabSZ,24279,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
109,Dec,10,07:28:45,LabSZ,24281,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
110,Dec,10,07:28:46,LabSZ,24281,Failed password for root from 112.95.230.3 port 50655 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
111,Dec,10,07:28:46,LabSZ,24281,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
112,Dec,10,07:28:47,LabSZ,24283,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
113,Dec,10,07:28:49,LabSZ,24283,Failed password for root from 112.95.230.3 port 51982 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
114,Dec,10,07:28:49,LabSZ,24283,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
115,Dec,10,07:28:49,LabSZ,24285,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
116,Dec,10,07:28:51,LabSZ,24285,Failed password for root from 112.95.230.3 port 53584 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
117,Dec,10,07:28:51,LabSZ,24285,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
118,Dec,10,07:32:24,LabSZ,24287,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=123.235.32.19  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
119,Dec,10,07:32:27,LabSZ,24287,Failed password for root from 123.235.32.19 port 40652 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
120,Dec,10,07:32:27,LabSZ,24287,Received disconnect from 123.235.32.19: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
121,Dec,10,07:32:27,LabSZ,24289,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=123.235.32.19  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
122,Dec,10,07:32:29,LabSZ,24289,Failed password for root from 123.235.32.19 port 49720 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
123,Dec,10,07:32:29,LabSZ,24289,Received disconnect from 123.235.32.19: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
124,Dec,10,07:33:58,LabSZ,24291,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=123.235.32.19  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
125,Dec,10,07:34:00,LabSZ,24291,Failed password for root from 123.235.32.19 port 45568 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
126,Dec,10,07:34:00,LabSZ,24291,Received disconnect from 123.235.32.19: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
127,Dec,10,07:34:02,LabSZ,24293,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=123.235.32.19  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
128,Dec,10,07:34:04,LabSZ,24293,Failed password for root from 123.235.32.19 port 48588 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
129,Dec,10,07:34:06,LabSZ,24293,Received disconnect from 123.235.32.19: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
130,Dec,10,07:34:07,LabSZ,24295,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=123.235.32.19  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
131,Dec,10,07:34:10,LabSZ,24295,Failed password for root from 123.235.32.19 port 50950 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
132,Dec,10,07:34:10,LabSZ,24295,Received disconnect from 123.235.32.19: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
133,Dec,10,07:34:13,LabSZ,24297,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=123.235.32.19  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
134,Dec,10,07:34:15,LabSZ,24297,Failed password for root from 123.235.32.19 port 54024 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
135,Dec,10,07:34:15,LabSZ,24297,Received disconnect from 123.235.32.19: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
136,Dec,10,07:34:21,LabSZ,24299,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=123.235.32.19  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
137,Dec,10,07:34:23,LabSZ,24299,Failed password for root from 123.235.32.19 port 57100 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
138,Dec,10,07:34:24,LabSZ,24299,Received disconnect from 123.235.32.19: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
139,Dec,10,07:34:33,LabSZ,24301,Did not receive identification string from 123.235.32.19,E3,Did not receive identification string from <*>
140,Dec,10,07:35:15,LabSZ,24303,Did not receive identification string from 177.79.82.136,E3,Did not receive identification string from <*>
141,Dec,10,07:42:49,LabSZ,24318,Invalid user inspur from 183.136.162.51,E13,Invalid user <*> from <*>
142,Dec,10,07:42:49,LabSZ,24318,input_userauth_request: invalid user inspur [preauth],E12,input_userauth_request: invalid user <*> [preauth]
143,Dec,10,07:42:49,LabSZ,24318,pam_unix(sshd:auth): check pass; user unknown,E21,pam_unix(sshd:auth): check pass; user unknown
144,Dec,10,07:42:49,LabSZ,24318,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.136.162.51,E19,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>
145,Dec,10,07:42:51,LabSZ,24318,Failed password for invalid user inspur from 183.136.162.51 port 55204 ssh2,E10,Failed password for invalid user <*> from <*> port <*> ssh2
146,Dec,10,07:42:51,LabSZ,24318,Received disconnect from 183.136.162.51: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
147,Dec,10,07:48:00,LabSZ,24321,reverse mapping checking getaddrinfo for 191-210-223-172.user.vivozap.com.br [191.210.223.172] failed - POSSIBLE BREAK-IN ATTEMPT!,E27,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!
