EventId,EventTemplate
E134,"User #<*>#, coming from #<*>#, authenticated."
E135,Using <*>.<*> MHz HPET timer.
E136,Using ACPI for IRQ routing
E137,Using configuration type <*>
E138,Using HPET based timekeeping.
E139,Using IOAPIC for interrupt routing
E140,Using MMCONFIG at <*>
E141,Using software bounce buffering for IO (SWIOTLB)
E142,v<*>.<*> (<*>)
E143,v<*>.<*>:USB HID core driver
E144,Version <*>.<*>.<*> Starting
E145,Wait for ready failed before probe !
E146,Warning: we failed to resolve data source name <*>
E147,Warning: we failed to resolve trusted host name <*>
E148,xinetd startup succeeded
E149,xinetd Version <*>.<*>.<*> started with libwrap loadavg options compiled in.
